n,eps_cinf,eps_hann,eps_std
345,6.7112935320509053473e-22,6.439072385047467e-08,3.425769666503578e-02
346,6.4645218538428014758e-22,6.392647273503274e-08,3.420805802291500e-02
347,6.1996078976989192968e-22,6.346689421590872e-08,3.415863369074953e-02
348,5.9231946128118433134e-22,6.301192800064419e-08,3.410942212722476e-02
349,5.6349964727144431820e-22,6.256151474490785e-08,3.406042180649549e-02
350,5.3423908673279009604e-22,6.211559603500451e-08,3.401163121798683e-02
351,5.0437679628415603851e-22,6.167411437060474e-08,3.396304886619833e-02
352,4.7466233666838446404e-22,6.123701314783850e-08,3.391467327051112e-02
353,4.4483720780530188637e-22,6.080423664297772e-08,3.386650296499804e-02
354,4.1562247348442800168e-22,6.037572999618067e-08,3.381853649823675e-02
355,3.8669521963451116176e-22,5.995143919575709e-08,3.377077243312575e-02
356,3.5872231945129699690e-22,5.953131106285265e-08,3.372320934670321e-02
357,3.3134532096738489316e-22,5.911529323615156e-08,3.367584582996859e-02
358,3.0516156912476727963e-22,5.870333415709568e-08,3.362868048770706e-02
359,2.7980103803610529390e-22,5.829538305529508e-08,3.358171193831654e-02
360,2.5578365226197353303e-22,5.789138993449919e-08,3.353493881363744e-02
361,2.3274702732312676218e-22,5.749130555867068e-08,3.348835975878494e-02
362,2.1113114649769148373e-22,5.709508143815863e-08,3.344197343198392e-02
363,1.9059632492391110165e-22,5.670266981656917e-08,3.339577850440624e-02
364,1.7150394862793173084e-22,5.631402365767614e-08,3.334977366001063e-02
365,1.5354875399599309011e-22,5.592909663249459e-08,3.330395759538488e-02
366,1.3701765391966699415e-22,5.554784310685705e-08,3.325832901959053e-02
367,1.2164913084262916108e-22,5.517021812915498e-08,3.321288665400971e-02
368,1.0766173779623525171e-22,5.479617741815946e-08,3.316762923219448e-02
369,9.4845495733738529250e-23,5.442567735138592e-08,3.312255549971821e-02
370,8.3357862605636239831e-23,5.405867495351380e-08,3.307766421402935e-02
371,7.3046652522399881657e-23,5.369512788495403e-08,3.303295414430726e-02
372,6.4014453038720609665e-23,5.333499443093346e-08,3.298842407132020e-02
373,5.6167873408510525000e-23,5.297823349056829e-08,3.294407278728543e-02
374,4.9552533760858149719e-23,5.262480456615309e-08,3.289989909573134e-02
375,4.4116430954142935522e-23,5.227466775278292e-08,3.285590181136163e-02
376,3.9823624499491474163e-23,5.192778372812827e-08,3.281207975992150e-02
